,Year,state,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
3,1983,Alabama,8427400.0,3934102.0,104000000.0,214.2140696911265
4,1984,Alabama,8843800.0,3951820.0,117200000.0,223.79055726222347
5,1985,Alabama,7654800.000000001,3972523.0,129300000.0,192.6936609303458
6,1986,Alabama,10500000.0,3991569.0,134300000.0,263.05445302336
7,1987,Alabama,7967700.0,4015264.0,147100000.0,198.43527100584168
8,1988,Alabama,8795500.0,4023844.0,155300000.0,218.5845176900496
9,1989,Alabama,9990800.0,4030222.0,169500000.0,247.8970141098927
10,1990,Alabama,14000000.0,4048508.0,177600000.00000003,345.80640571785955
11,1991,Alabama,12100000.0,4091025.0,186100000.0,295.7693976448445
12,1992,Alabama,14700000.0,4139269.0,196400000.0,355.13517000223953
13,1993,Alabama,19300000.0,4193113.9999999995,211600000.0,460.2784469966712
14,1994,Alabama,16600000.0,4232965.0,228500000.0,392.1601052690017
15,1995,Alabama,21800000.0,4262731.0,245100000.00000003,511.40923506550143
16,1996,Alabama,21200000.0,4290403.0,258200000.0,494.1260762683599
17,1997,Alabama,22300000.0,4320281.0,272800000.0,516.1701287485698
18,1998,Alabama,17400000.0,4351037.0,287100000.0,399.9046664048134
19,1999,Alabama,22700000.0,4369862.0,299200000.0,519.4672051428627
20,2000,Alabama,22599999.999999996,4452173.0,317300000.0,507.6172916012023
22,2002,Alabama,21200000.0,4480089.0,308100000.0,473.2048849922402
24,2004,Alabama,31100000.0,4530729.0,321100000.0,686.4237521158294
25,2005,Alabama,31700000.0,4569805.0,365400000.0,693.683866160591
26,2006,Alabama,36500000.0,4628981.0,407900000.0,788.5104734713752
27,2007,Alabama,37300000.0,4672840.0,430700000.0,798.2297703323889
28,2008,Alabama,38300000.0,4718206.0,430300000.0,811.749211458762
29,2009,Alabama,40900000.0,4757938.0,380600000.0,859.616077384783
30,2010,Alabama,40500000.0,4785514.0,385400000.0,846.304075173534
31,2011,Alabama,41300000.0,4799642.0,396400000.0,860.4808441962964
32,2012,Alabama,40199999.99999999,4816632.0,407299999.99999994,834.6080829924313
33,2013,Alabama,42600000.0,4831586.0,441200000.0,881.6980593949894
34,2014,Alabama,38200000.0,4843737.0,457000000.0,788.6472779178556
35,2015,Alabama,42000000.0,4854803.0,481200000.0,865.1226424635563
36,2016,Alabama,43099999.99999999,4866824.0,485900000.00000006,885.5878083941395
37,2017,Alabama,36600000.0,4877989.0,164600000.0,750.3091950391853
42,1983,Alaska,4126100.0,488417.0,45000000.0,844.7904147480534
43,1984,Alaska,4348700.0,513702.0,46600000.0,846.5413800218803
44,1985,Alaska,4950900.0,532495.0,48000000.0,929.7552089690982
45,1986,Alaska,4957400.0,544268.0,46600000.0,910.8380430229225
46,1987,Alaska,4637800.0,539309.0,39300000.0,859.9522722595026
47,1988,Alaska,4840400.0,541983.0,41900000.00000001,893.0907426985718
48,1989,Alaska,4895900.0,547159.0,46900000.00000001,894.7856107639645
49,1990,Alaska,4805000.0,553120.0,51100000.0,868.7084177032108
50,1991,Alaska,5098100.0,569273.0,55000000.0,895.545722351139
51,1992,Alaska,5558700.0,587073.0,53500000.0,946.8498806792342
52,1993,Alaska,5719300.000000001,596993.0,62000000.0,958.0179332085971
53,1994,Alaska,6215200.0,600624.0,54300000.0,1034.7904845627213
54,1995,Alaska,6857700.0,601345.0,62699999.99999999,1140.393617640456
55,1996,Alaska,6788900.0,604918.0,59500000.0,1122.284342671238
56,1997,Alaska,6827900.0,608846.0,62400000.0,1121.4494305620797
57,1998,Alaska,6953800.0,615205.0,60400000.0,1130.3224128542518
58,1999,Alaska,7083199.999999999,619500.0,58400000.0,1143.3736884584341
59,2000,Alaska,7731800.0,627963.0,66800000.0,1231.2508858005967
61,2002,Alaska,9227800.0,642337.0,64100000.0,1436.597922897171
63,2004,Alaska,9163300.0,659286.0,67700000.0,1389.882387916625
64,2005,Alaska,9164500.0,666946.0,79500000.0,1374.0992524132387
65,2006,Alaska,10700000.0,675302.0,92700000.0,1584.4762787612062
66,2007,Alaska,11299999.999999998,680300.0,110600000.0,1661.0318976921944
67,2008,Alaska,11900000.0,687455.0,164000000.0,1731.0223941930742
68,2009,Alaska,13300000.0,698895.0,120900000.0,1903.0040277867206
69,2010,Alaska,13799999.999999998,713982.0,118500000.0,1932.821835844601
70,2011,Alaska,13100000.0,722349.0,133300000.0,1813.5278099644354
71,2012,Alaska,14300000.0,730810.0,151000000.0,1956.7329401622858
72,2013,Alaska,14900000.0,737626.0,139900000.0,2019.993872233354
73,2014,Alaska,15700000.0,737075.0,126600000.0,2130.041040599667
74,2015,Alaska,15800000.0,738430.0,111199999.99999999,2139.6747152742983
75,2016,Alaska,16100000.000000002,742575.0,105000000.0,2168.131165202168
76,2017,Alaska,15100000.0,740983.0,30400000.0,2037.8335265451435
81,1983,Arizona,9085000.0,2968925.0,97400000.0,306.0030145591418
82,1984,Arizona,9851100.0,3067135.0,114100000.0,321.18247158993654
83,1985,Arizona,11399999.999999998,3183538.0,131000000.0,358.0921603574388
84,1986,Arizona,13100000.0,3308262.0,142900000.0,395.9783112703891
85,1987,Arizona,14900000.0,3437103.0,160100000.00000003,433.50461129619913
86,1988,Arizona,16100000.000000002,3535183.0,170900000.0,455.421968254543
87,1989,Arizona,17700000.0,3622185.0,186500000.0,488.6553282065936
88,1990,Arizona,19400000.0,3679056.0,196200000.0,527.3091793112146
89,1991,Arizona,20800000.0,3762394.0,206000000.0,552.839495278804
90,1992,Arizona,23300000.0,3867333.0,214700000.0,602.4823825618327
91,1993,Arizona,24000000.0,3993390.0,233900000.0,600.9931411657764
92,1994,Arizona,26300000.0,4147560.9999999995,259500000.0,634.1076116782851
93,1995,Arizona,28800000.0,4306908.0,283900000.0,668.6931784937128
94,1996,Arizona,31600000.0,4432308.0,311700000.0,712.9468439467654
95,1997,Arizona,34300000.0,4552207.0,337800000.0,753.480674319072
96,1998,Arizona,37200000.0,4667277.0,368600000.0,797.0386158781663
97,1999,Arizona,37700000.0,4778332.0,399099999.99999994,788.9782459653285
98,2000,Arizona,44700000.0,5160586.0,438700000.0,866.1807011839353
100,2002,Arizona,47699999.99999999,5396255.0,430900000.00000006,883.9463665078837
102,2004,Arizona,57200000.0,5652404.0,472900000.0,1011.9588054923179
103,2005,Arizona,62400000.0,5839077.0,554100000.0,1068.6620505261362
104,2006,Arizona,67700000.0,6029141.0,641200000.0,1122.8796938071278
105,2007,Arizona,76900000.0,6167681.0,684900000.0,1246.8219416665681
106,2008,Arizona,82100000.00000001,6280362.0,652300000.0,1307.2494865741817
107,2009,Arizona,84500000.0,6343154.0,559000000.0,1332.1448604274779
108,2010,Arizona,81600000.0,6407342.0,546600000.0,1273.5390119647118
109,2011,Arizona,78700000.0,6473416.0,581900000.0,1215.7414261651036
110,2012,Arizona,79800000.0,6556344.0,610900000.0,1217.1417485110605
111,2013,Arizona,81100000.0,6634690.0,671100000.0,1222.3630644385796
112,2014,Arizona,81600000.0,6732873.0,698700000.0,1211.9640456607453
113,2015,Arizona,85900000.0,6832810.0,746300000.0,1257.1694515140916
114,2016,Arizona,102400000.0,6944767.0,765300000.0,1474.4915128182126
115,2017,Arizona,96500000.0,7048088.0,245200000.0,1369.165651734201
120,1983,Arkansas,3663400.0,2305761.0,57100000.0,158.88030025661809
121,1984,Arkansas,4108500.0,2319768.0,63600000.0,177.1082280641857
122,1985,Arkansas,4632200.0,2327046.0,70000000.0,199.0592364740534
123,1986,Arkansas,4934800.0,2331984.0,72500000.0,211.61380180996096
124,1987,Arkansas,5264400.0,2342355.0,77900000.0,224.74817011084997
125,1988,Arkansas,5364000.0,2342656.0,82899999.99999999,228.97087749972678
126,1989,Arkansas,6028300.0,2346358.0,89400000.0,256.9215780371111
127,1990,Arkansas,6926000.0,2354343.0,94000000.0,294.1797350683397
128,1991,Arkansas,7447300.0,2370666.0,99400000.0,314.14378912929953
129,1992,Arkansas,8265600.0,2394098.0,108400000.0,345.2490248937178
130,1993,Arkansas,9042700.0,2423743.0,115900000.0,373.08823584018603
131,1994,Arkansas,9626400.0,2450605.0,126800000.0,392.8172838952014
