Year,State,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
2020,Alabama,49124208.561903,5294868.312395811,490839589.33171844,963.2248265311364
2021,Alabama,50329208.20200014,5344434.019396871,501004186.2403412,982.7084554597068
2022,Alabama,51534207.84209728,5393999.726397932,511168783.1489639,1002.1920843882754
2023,Alabama,52739207.48219395,5443565.433398992,521333380.05758286,1021.6757133168339
2024,Alabama,53944207.12229109,5493131.140400052,531497976.9662056,1041.1593422454025
2025,Alabama,55149206.76238823,5542696.847401112,541662573.8748283,1060.642971173973
2026,Alabama,56354206.402484894,5592262.554402173,551827170.7834511,1080.1266001025315
2027,Alabama,57559206.042582035,5641828.261403233,561991767.6920738,1099.6102290311
2028,Alabama,58764205.68267918,5691393.968404293,572156364.6006966,1119.0938579596686
2029,Alabama,59969205.32277584,5740959.675405353,582320961.5093193,1138.5774868882281
2030,Alabama,61174204.96287298,5790525.382406414,592485558.417942,1158.0611158167967
2031,Alabama,62379204.60297012,5840091.089407474,602650155.3265648,1177.5447447453662
2032,Alabama,63584204.24306679,5889656.796408534,612814752.2351875,1197.0283736739248
2033,Alabama,64789203.88316393,5939222.503409594,622979349.1438103,1216.5120026024942
2034,Alabama,65994203.52326107,5988788.210410669,633143946.052433,1235.99563153106
2035,Alabama,67199203.16335773,6038353.91741173,643308542.9610558,1255.4792604596187
2036,Alabama,68404202.80345488,6087919.62441279,653473139.8696785,1274.9628893881873
2037,Alabama,69609202.44355202,6137485.33141385,663637736.7783012,1294.4465183167567
2038,Alabama,70814202.08364868,6187051.03841491,673802333.686924,1313.9301472453144
2039,Alabama,72019201.72374582,6236616.745415971,683966930.5955467,1333.4137761738857
2040,Alabama,73224201.36384296,6286182.452417031,694131527.5041656,1352.8974051024534
2020,Alaska,16270781.235793352,599142.8120169714,127119544.62797451,2277.385182937446
2021,Alaska,16627632.19048345,593313.5444764365,129486145.62812614,2323.8979903860863
2022,Alaska,16984483.14517355,587484.2769358996,131852746.62827778,2370.4107978347274
2023,Alaska,17341334.09986365,581655.0093953628,134219347.6284294,2416.9236052833685
2024,Alaska,17698185.054553747,575825.741854826,136585948.6285801,2463.4364127320096
2025,Alaska,18055036.009243846,569996.4743142892,138952549.62873173,2509.9492201806497
2026,Alaska,18411886.963933945,564167.2067737542,141319150.62888336,2556.462027629289
2027,Alaska,18768737.918624043,558337.9392332174,143685751.629035,2602.974835077931
2028,Alaska,19125588.873314142,552508.6716926806,146052352.62918663,2649.487642526571
2029,Alaska,19482439.82800424,546679.4041521437,148418953.62933826,2696.0004499752113
2030,Alaska,19839290.78269434,540850.1366116069,150785554.6294899,2742.5132574238532
2031,Alaska,20196141.73738444,535020.869071072,153152155.62964153,2789.0260648724925
2032,Alaska,20552992.692074537,529191.6015305351,155518756.62979317,2835.5388723211336
2033,Alaska,20909843.646764636,523362.3339899983,157885357.6299448,2882.0516797697746
2034,Alaska,21266694.601454735,517533.0664494615,160251958.63009548,2928.564487218415
2035,Alaska,21623545.556144834,511703.7989089247,162618559.63024712,2975.077294667056
2036,Alaska,21980396.510834932,505874.5313683897,164985160.63039875,3021.590102115697
2037,Alaska,22337247.46552503,500045.2638278529,167351761.63055038,3068.102909564336
2038,Alaska,22694098.42021525,494215.9962873161,169718362.63070202,3114.615717012992
2039,Alaska,23050949.374905348,488386.72874677926,172084963.63085365,3161.128524461633
2040,Alaska,23407800.329595447,482557.46120624244,174451564.6310053,3207.641331910273
2020,Arizona,105214924.60221195,7650554.093726307,763073795.2720108,1552.528657385501
2021,Arizona,108074501.3335352,7782305.595317453,781319752.9928818,1587.0351783554179
2022,Arizona,110934078.06485844,7914057.096908599,799565710.7137451,1621.5416993253239
2023,Arizona,113793654.79618073,8045808.598499775,817811668.4346161,1656.0482202952371
2024,Arizona,116653231.52750397,8177560.100090921,836057626.1554794,1690.554741265143
2025,Arizona,119512808.25882721,8309311.601682067,854303583.8763504,1725.0612622350563
2026,Arizona,122372384.9901495,8441063.103273213,872549541.5972137,1759.5677832049623
2027,Arizona,125231961.72147274,8572814.604864359,890795499.3180771,1794.074304174872
2028,Arizona,128091538.45279598,8704566.106455505,909041457.038948,1828.5808251447816
2029,Arizona,130951115.18411827,8836317.60804665,927287414.7598114,1863.087346114684
2030,Arizona,133810691.91544151,8968069.109637797,945533372.4806824,1897.5938670845972
2031,Arizona,136670268.64676476,9099820.611228973,963779330.2015457,1932.1003880545177
2032,Arizona,139529845.37808704,9231572.112820119,982025287.9224167,1966.60690902442
2033,Arizona,142389422.1094103,9363323.614411265,1000271245.64328,2001.1134299943296
2034,Arizona,145248998.84073353,9495075.11600241,1018517203.364151,2035.6199509642393
2035,Arizona,148108575.57205582,9626826.617593557,1036763161.0850143,2070.126471934149
2036,Arizona,150968152.30337906,9758578.119184703,1055009118.8058853,2104.632992904055
2037,Arizona,153827729.0347023,9890329.620775849,1073255076.5267487,2139.139513873968
2038,Arizona,156687305.7660246,10022081.122366995,1091501034.247612,2173.646034843874
2039,Arizona,159546882.49734783,10153832.62395814,1109746991.968483,2208.1525558137837
2040,Arizona,162406459.22867107,10285584.125549287,1127992949.6893463,2242.6590767836933
2020,Arkansas,26626527.720109105,1463986.7914456725,243342995.15078068,1098.0079401511448
2021,Arkansas,27008879.9287771,1367056.0562964082,245208721.0183363,1123.3706109892512
2022,Arkansas,27391232.137445092,1270125.3211471438,247074446.8858919,1148.7332818273571
2023,Arkansas,27773584.346113086,1173194.5859978795,248940172.75344753,1174.0959526654633
2024,Arkansas,28155936.55478108,1076263.8508486152,250805898.62100315,1199.4586235035695
2025,Arkansas,28538288.763449073,979333.1156993508,252671624.48855925,1224.8212943416756
2026,Arkansas,28920640.972116947,882402.3805500865,254537350.35611486,1250.1839651797773
2027,Arkansas,29302993.18078494,785471.6454007924,256403076.22367048,1275.5466360178875
